No.,Symbol,Company Name,Revenue,Stock Price,% Change,Market Cap
366,MSI,"Motorola Solutions, Inc.",10.82B,422.23,-0.93%,70.49B
367,TOL,"Toll Brothers, Inc.",10.76B,110.41,-1.91%,10.98B
368,WMB,"The Williams Companies, Inc.",10.75B,54.78,-2.18%,66.80B
369,OSK,Oshkosh Corporation,10.73B,97.58,0.13%,6.30B
370,DASH,"DoorDash, Inc.",10.72B,178.91,-3.98%,75.16B
371,OMI,"Owens & Minor, Inc.",10.70B,9.98,2.41%,770.93M
372,NVR,"NVR, Inc.",10.69B,"7,505.02",-1.29%,22.44B
373,BAX,Baxter International Inc.,10.64B,35.33,2.23%,18.08B
374,BURL,"Burlington Stores, Inc.",10.62B,249.00,-9.84%,15.64B
375,EXPD,"Expeditors International of Washington, Inc.",10.60B,121.14,5.28%,16.72B
376,AMRK,"A-Mark Precious Metals, Inc.",10.59B,27.61,1.47%,635.53M
377,FANG,"Diamondback Energy, Inc.",10.56B,140.26,1.07%,40.60B
378,WAB,Westinghouse Air Brake Technologies Corporation,10.39B,177.55,-0.57%,30.33B
379,PEG,Public Service Enterprise Group Incorporated,10.29B,77.73,0.10%,38.75B
380,DAN,Dana Incorporated,10.28B,14.02,-3.64%,2.03B
381,EBAY,eBay Inc.,10.28B,67.67,2.79%,31.53B
382,CE,Celanese Corporation,10.28B,54.12,-0.76%,5.92B
383,NWSA,News Corporation,10.25B,28.27,-1.80%,16.03B
384,STZ,"Constellation Brands, Inc.",10.18B,179.22,4.58%,32.38B
385,VFC,V.F. Corporation,10.15B,20.03,-10.65%,7.80B
386,AMT,American Tower Corporation,10.13B,206.47,1.44%,96.52B
387,FIS,"Fidelity National Information Services, Inc.",10.13B,70.44,0.80%,37.31B
388,CPB,The Campbell's Company,10.12B,39.89,8.41%,11.89B
389,GPN,Global Payments Inc.,10.11B,100.27,0.17%,24.83B
390,QVCGB,QVC Group Inc.,10.04B,5.77,-15.58%,163.77M
391,QVCGA,QVC Group Inc.,10.04B,0.264,0.23%,105.35M
392,IEP,Icahn Enterprises L.P.,10.03B,9.85,0.86%,5.15B
393,CTAS,Cintas Corporation,9.94B,198.79,-0.13%,80.22B
394,DGX,Quest Diagnostics Incorporated,9.87B,170.96,1.65%,18.97B
395,AMTM,"Amentum Holdings, Inc.",9.82B,19.04,3.87%,4.63B
396,BECN,"Beacon Roofing Supply, Inc.",9.76B,112.30,-0.24%,6.92B
397,BIIB,Biogen Inc.,9.68B,147.30,4.17%,21.56B
398,CNXC,Concentrix Corporation,9.62B,44.37,4.12%,2.85B
399,SPTN,SpartanNash Company,9.55B,19.86,2.49%,670.40M
400,THO,"THOR Industries, Inc.",9.50B,86.16,-1.37%,4.58B
401,NCLH,Norwegian Cruise Line Holdings Ltd.,9.48B,19.74,-3.35%,8.68B
402,APA,APA Corporation,9.47B,19.05,0.85%,6.94B
403,CWK,Cushman & Wakefield plc,9.45B,11.18,-2.23%,2.57B
404,SYF,Synchrony Financial,9.39B,53.84,-2.47%,20.93B
405,EMN,Eastman Chemical Company,9.38B,96.28,0.92%,11.08B
406,ADI,"Analog Devices, Inc.",9.34B,223.70,0.06%,110.95B
407,FCNCO,"First Citizens BancShares, Inc.",9.33B,22.57,-0.49%,24.81B
408,FCNCA,"First Citizens BancShares, Inc.",9.33B,"1,851.75",-1.14%,25.14B
409,ICE,"Intercontinental Exchange, Inc.",9.28B,169.65,-0.22%,97.47B
410,JBLU,JetBlue Airways Corporation,9.28B,5.99,-3.93%,2.11B
411,ZTS,Zoetis Inc.,9.26B,167.26,1.84%,74.90B
412,IPG,"The Interpublic Group of Companies, Inc.",9.19B,27.26,2.03%,10.16B
413,OSCR,"Oscar Health, Inc.",9.18B,15.50,3.97%,3.88B
414,SEB,Seaboard Corporation,9.10B,"2,917.82",6.71%,2.83B
415,AAP,"Advance Auto Parts, Inc.",9.09B,33.89,2.60%,2.03B
416,FTI,TechnipFMC plc,9.08B,26.54,0.38%,11.16B
417,HTZ,"Hertz Global Holdings, Inc.",9.05B,4.080,0.73%,1.25B
418,SKX,"Skechers U.S.A., Inc.",8.97B,58.91,-2.63%,8.80B
419,ATUS,"Altice USA, Inc.",8.95B,2.445,-2.98%,1.13B
420,OVV,Ovintiv Inc.,8.94B,38.75,1.55%,10.09B
421,NOV,NOV Inc.,8.87B,14.51,2.65%,5.52B
422,GPK,Graphic Packaging Holding Company,8.81B,26.63,3.18%,7.99B
423,SJM,The J. M. Smucker Company,8.79B,111.47,6.92%,11.86B
424,PVH,PVH Corp.,8.77B,72.95,-1.46%,4.06B
425,AVY,Avery Dennison Corporation,8.76B,184.44,1.12%,14.57B
426,BEN,"Franklin Resources, Inc.",8.74B,19.91,0.45%,10.46B
427,ARKO,Arko Corp.,8.73B,4.025,-0.12%,465.98M
428,CQP,"Cheniere Energy Partners, L.P.",8.70B,61.82,-0.01%,29.92B
429,NSIT,"Insight Enterprises, Inc.",8.70B,154.35,1.00%,4.90B
430,SIRI,Sirius XM Holdings Inc.,8.70B,23.64,3.35%,8.01B
431,MTB,M&T Bank Corporation,8.67B,177.00,-0.33%,29.09B
432,CNP,"CenterPoint Energy, Inc.",8.64B,33.43,1.36%,21.78B
433,WEC,"WEC Energy Group, Inc.",8.60B,104.06,2.77%,33.07B
434,PANW,"Palo Alto Networks, Inc.",8.57B,178.06,-1.71%,117.89B
435,XYL,Xylem Inc.,8.56B,128.95,-0.23%,31.34B
436,PLD,"Prologis, Inc.",8.56B,120.53,-0.94%,113.64B
437,PPL,PPL Corporation,8.46B,33.88,1.11%,25.01B
438,WDAY,"Workday, Inc.",8.45B,252.44,-2.12%,67.15B
439,PKG,Packaging Corporation of America,8.38B,204.60,1.04%,18.24B
440,ABM,ABM Industries Incorporated,8.36B,52.11,3.19%,3.24B
441,ISRG,"Intuitive Surgical, Inc.",8.35B,531.48,-5.15%,189.55B
442,NTRS,Northern Trust Corporation,8.29B,103.28,-1.25%,20.21B
443,SOLV,Solventum Corporation,8.25B,76.45,0.94%,13.23B
444,ORI,Old Republic International Corporation,8.23B,37.79,-0.65%,9.25B
445,BBUC,Brookfield Business Corporation,8.21B,27.18,-2.50%,1.98B
446,EQIX,"Equinix, Inc.",8.17B,879.52,-2.02%,85.61B
447,TMHC,Taylor Morrison Home Corporation,8.17B,62.11,-0.87%,6.32B
448,TDG,TransDigm Group Incorporated,8.16B,"1,346.80",-1.53%,75.53B
449,CACI,CACI International Inc,8.13B,356.26,5.79%,7.99B
450,ROK,"Rockwell Automation, Inc.",8.09B,269.64,-0.28%,30.49B
451,XPO,"XPO, Inc.",8.07B,111.11,-3.44%,13.03B
452,VOYA,"Voya Financial, Inc.",8.05B,69.12,-0.70%,6.60B
453,VRT,Vertiv Holdings Co,8.01B,82.08,-0.07%,31.25B
454,AFG,"American Financial Group, Inc.",8.01B,127.96,-0.16%,10.75B
455,WELL,Welltower Inc.,7.99B,149.26,-1.30%,95.72B
456,FL,"Foot Locker, Inc.",7.99B,17.85,2.35%,1.69B
457,PARR,"Par Pacific Holdings, Inc.",7.97B,12.94,1.85%,708.44M
458,FITB,Fifth Third Bancorp,7.95B,39.73,-0.70%,26.45B
459,POST,"Post Holdings, Inc.",7.93B,114.34,2.64%,6.46B
460,CMC,Commercial Metals Company,7.83B,46.45,-2.60%,5.28B
461,MAS,Masco Corporation,7.83B,74.05,0.93%,15.70B
462,RUSHB,"Rush Enterprises, Inc.",7.80B,54.65,-1.25%,4.40B
463,RUSHA,"Rush Enterprises, Inc.",7.80B,54.76,-1.73%,4.34B
464,DOV,Dover Corporation,7.75B,186.89,-1.47%,25.65B
465,KBR,"KBR, Inc.",7.74B,50.07,3.03%,6.63B
466,SFM,"Sprouts Farmers Market, Inc.",7.72B,138.37,-3.71%,13.64B
467,SANM,Sanmina Corporation,7.70B,75.71,-0.69%,4.11B
468,ZBH,"Zimmer Biomet Holdings, Inc.",7.68B,105.24,1.55%,20.95B
469,WSO,"Watsco, Inc.",7.62B,488.00,1.76%,18.44B
470,WSO.B,"Watsco, Inc.",7.62B,501.84,1.79%,18.54B
471,CVI,"CVR Energy, Inc.",7.61B,18.35,0.54%,1.84B
472,NWL,Newell Brands Inc.,7.58B,6.61,0.22%,2.75B
473,YUM,"Yum! Brands, Inc.",7.55B,159.59,1.83%,44.54B
474,FAST,Fastenal Company,7.55B,77.62,2.29%,44.51B
475,WSM,"Williams-Sonoma, Inc.",7.53B,182.37,0.61%,22.45B
476,CMS,CMS Energy Corporation,7.52B,71.60,2.36%,21.39B
477,MNST,Monster Beverage Corporation,7.49B,55.61,-0.47%,54.11B
478,HWM,Howmet Aerospace Inc.,7.43B,125.35,-3.25%,50.77B
479,INGR,Ingredion Incorporated,7.43B,130.57,3.63%,8.38B
480,VMC,Vulcan Materials Company,7.42B,234.63,-5.49%,31.00B
481,KNX,Knight-Swift Transportation Holdings Inc.,7.41B,48.93,-4.82%,7.92B
482,NDAQ,"Nasdaq, Inc.",7.40B,76.15,-2.88%,43.80B
483,SAIC,Science Applications International Corporation,7.38B,101.55,6.01%,4.96B
484,EA,Electronic Arts Inc.,7.35B,136.33,1.79%,35.53B
485,RPM,RPM International Inc.,7.35B,124.32,-1.98%,15.98B
486,AEE,Ameren Corporation,7.32B,97.31,1.24%,26.26B
487,BBWI,"Bath & Body Works, Inc.",7.31B,34.18,-6.58%,7.40B
488,GNW,"Genworth Financial, Inc.",7.30B,6.64,0.08%,2.78B
489,PII,Polaris Inc.,7.27B,45.09,6.32%,2.53B
490,IR,Ingersoll Rand Inc.,7.24B,85.16,-1.56%,34.32B
491,CNM,"Core & Main, Inc.",7.18B,47.45,-1.36%,9.43B
492,CLX,The Clorox Company,7.17B,147.67,2.44%,18.19B
493,WYNN,"Wynn Resorts, Limited",7.13B,87.76,-0.78%,9.25B
494,WY,Weyerhaeuser Company,7.12B,30.21,0.74%,21.92B
495,CFG,"Citizens Financial Group, Inc.",7.12B,42.14,-2.74%,18.42B
496,UGI,UGI Corporation,7.12B,32.92,-0.21%,7.07B
497,EDR,"Endeavor Group Holdings, Inc.",7.11B,28.85,-1.04%,13.57B
498,TROW,"T. Rowe Price Group, Inc.",7.09B,98.50,-0.47%,21.93B
499,MCO,Moody's Corporation,7.09B,467.45,-2.93%,84.09B
500,ON,ON Semiconductor Corporation,7.08B,44.28,2.21%,18.66B
