No.,Symbol,Company Name,Revenue,Stock Price,% Change,Market Cap
86,NKE,"NIKE, Inc.",48.98B,77.68,-0.05%,114.90B
87,BMY,Bristol-Myers Squibb Company,48.30B,60.37,2.92%,122.50B
88,INGM,Ingram Micro Holding Corporation,47.98B,19.10,-1.85%,4.49B
89,DE,Deere & Company,47.86B,482.88,1.84%,131.06B
90,GD,General Dynamics Corporation,47.72B,263.11,2.51%,71.03B
91,KO,The Coca-Cola Company,47.06B,69.90,1.67%,300.64B
92,TRV,"The Travelers Companies, Inc.",46.42B,256.72,0.43%,58.21B
93,LLY,Eli Lilly and Company,45.04B,901.00,-4.99%,809.25B
94,UBER,"Uber Technologies, Inc.",43.98B,74.38,0.20%,155.37B
95,DOW,Dow Inc.,42.96B,36.98,-0.08%,26.10B
96,TMO,Thermo Fisher Scientific Inc.,42.88B,527.74,0.37%,199.09B
97,WKC,World Kinect Corporation,42.17B,28.30,-0.04%,1.61B
98,ABT,Abbott Laboratories,41.95B,134.35,1.24%,233.00B
99,BBY,"Best Buy Co., Inc.",41.53B,78.58,-0.85%,16.80B
100,NOC,Northrop Grumman Corporation,41.03B,473.92,3.09%,68.60B
101,QCOM,QUALCOMM Incorporated,40.70B,155.87,1.33%,172.30B
102,LYB,LyondellBasell Industries N.V.,40.30B,75.43,0.86%,24.40B
103,DG,Dollar General Corporation,40.17B,76.08,5.97%,16.73B
104,WBD,"Warner Bros. Discovery, Inc.",39.32B,10.63,2.71%,26.09B
105,MOH,"Molina Healthcare, Inc.",39.16B,320.98,3.16%,17.81B
106,NFLX,"Netflix, Inc.",39.00B,894.50,-3.58%,382.63B
107,GE,General Electric Company,38.70B,195.97,-2.86%,210.33B
108,HON,Honeywell International Inc.,38.50B,211.07,1.42%,137.18B
109,CRM,"Salesforce, Inc.",37.90B,287.37,-2.69%,276.16B
110,PM,Philip Morris International Inc.,37.88B,153.28,-1.66%,238.32B
111,USFD,US Foods Holding Corp.,37.88B,67.25,-3.86%,15.49B
112,V,Visa Inc.,36.80B,342.54,-0.58%,669.17B
113,DHI,"D.R. Horton, Inc.",36.69B,134.65,-0.95%,42.43B
114,MDLZ,"Mondelez International, Inc.",36.44B,66.77,4.06%,86.37B
115,SLB,Schlumberger Limited,36.29B,40.50,4.33%,55.07B
116,LAD,"Lithia Motors, Inc.",36.19B,314.24,-3.09%,8.26B
117,SBUX,Starbucks Corporation,36.15B,104.49,-1.12%,118.69B
118,CBRE,"CBRE Group, Inc.",35.77B,134.07,-3.80%,39.63B
119,LEN,Lennar Corporation,35.44B,126.18,-1.06%,33.36B
120,GEV,GE Vernova Inc.,34.94B,286.41,-2.32%,79.02B
121,CMI,Cummins Inc.,34.10B,342.42,-2.19%,47.08B
122,PCAR,PACCAR Inc,33.66B,106.50,2.24%,55.89B
123,AMGN,Amgen Inc.,33.42B,317.35,2.92%,170.48B
124,PBF,PBF Energy Inc.,33.12B,21.28,3.00%,2.47B
125,PYPL,"PayPal Holdings, Inc.",31.80B,68.19,1.24%,67.46B
126,UNFI,"United Natural Foods, Inc.",31.30B,27.62,-0.99%,1.65B
127,HPE,Hewlett Packard Enterprise Company,31.23B,15.15,-15.79%,19.90B
128,DLTR,"Dollar Tree, Inc.",31.22B,68.50,-1.50%,14.73B
129,NUE,Nucor Corporation,30.73B,132.75,0.79%,30.60B
130,PAG,"Penske Automotive Group, Inc.",30.46B,167.25,-0.59%,11.16B
131,CPNG,"Coupang, Inc.",30.27B,23.06,-3.95%,41.63B
132,DUK,Duke Energy Corporation,29.93B,115.21,1.53%,89.46B
133,FERG,Ferguson Enterprises Inc.,29.70B,165.03,-1.17%,33.00B
134,PARA,Paramount Global,29.21B,11.76,4.80%,7.89B
135,MU,"Micron Technology, Inc.",29.09B,90.95,1.78%,101.33B
136,GILD,"Gilead Sciences, Inc.",28.75B,115.77,1.29%,144.17B
137,DINO,HF Sinclair Corporation,28.58B,31.60,2.02%,5.95B
138,MA,Mastercard Incorporated,28.17B,549.38,-1.63%,502.03B
139,NRG,"NRG Energy, Inc.",28.13B,91.73,-4.09%,18.17B
140,ARW,"Arrow Electronics, Inc.",27.92B,105.69,1.58%,5.51B
141,BKR,Baker Hughes Company,27.83B,42.41,1.79%,41.99B
142,KMX,"CarMax, Inc.",27.80B,78.00,-2.26%,12.00B
143,AMAT,"Applied Materials, Inc.",27.64B,151.95,0.64%,123.45B
144,JBL,Jabil Inc.,27.49B,138.43,-1.50%,15.16B
145,LUV,Southwest Airlines Co.,27.48B,29.04,-2.00%,17.21B
146,COF,Capital One Financial Corporation,27.40B,176.11,-2.78%,67.16B
147,AIG,"American International Group, Inc.",27.03B,81.28,-0.11%,48.23B
148,AN,"AutoNation, Inc.",26.77B,172.91,-1.84%,6.75B
149,OXY,Occidental Petroleum Corporation,26.73B,46.74,3.02%,43.89B
150,SO,The Southern Company,26.72B,88.71,3.09%,97.30B
151,HIG,"The Hartford Insurance Group, Inc.",26.56B,116.65,0.79%,33.29B
152,KKR,KKR & Co. Inc.,26.42B,115.70,-4.74%,102.77B
153,MCD,McDonald's Corporation,25.92B,311.91,3.63%,222.85B
154,APO,"Apollo Global Management, Inc.",25.89B,133.93,-3.90%,76.40B
155,KHC,The Kraft Heinz Company,25.85B,32.34,3.39%,38.65B
156,AMD,"Advanced Micro Devices, Inc.",25.79B,99.05,-0.40%,160.51B
157,FLEX,Flex Ltd.,25.58B,34.42,-2.44%,13.19B
158,FCX,Freeport-McMoRan Inc.,25.46B,37.66,-3.46%,54.11B
159,USB,U.S. Bancorp,25.10B,44.15,-0.79%,68.79B
160,CCL,Carnival Corporation & plc,25.02B,20.59,-3.79%,26.95B
161,NEE,"NextEra Energy, Inc.",24.75B,70.17,3.84%,144.34B
162,MMM,3M Company,24.58B,146.61,-2.90%,79.59B
163,MMC,"Marsh & McLennan Companies, Inc.",24.46B,235.78,-0.38%,115.80B
164,PCG,PG&E Corporation,24.42B,16.04,0.09%,35.18B
165,UNP,Union Pacific Corporation,24.25B,245.86,0.97%,148.57B
166,XYZ,"Block, Inc.",24.12B,58.78,-1.71%,36.46B
167,DHR,Danaher Corporation,23.88B,214.15,-0.38%,153.06B
168,BKNG,Booking Holdings Inc.,23.74B,"4,718.26",-1.21%,154.83B
169,PWR,"Quanta Services, Inc.",23.67B,241.89,1.10%,35.85B
170,CEG,Constellation Energy Corporation,23.57B,209.90,-0.37%,65.67B
171,GPC,Genuine Parts Company,23.49B,125.54,0.45%,17.42B
172,EOG,"EOG Resources, Inc.",23.48B,122.17,2.05%,67.67B
173,JLL,Jones Lang LaSalle Incorporated,23.43B,258.05,-4.04%,12.23B
174,LEA,Lear Corporation,23.31B,94.97,3.62%,5.09B
175,LYV,"Live Nation Entertainment, Inc.",23.16B,132.58,-4.54%,30.64B
176,SHW,The Sherwin-Williams Company,23.10B,360.06,0.37%,89.99B
177,EXC,Exelon Corporation,23.03B,42.74,0.73%,42.96B
178,M,"Macy's, Inc.",23.01B,13.33,5.11%,3.70B
179,HAL,Halliburton Company,22.94B,24.81,2.86%,21.54B
180,SUN,Sunoco LP,22.69B,56.76,-0.39%,7.73B
181,SYK,Stryker Corporation,22.60B,382.90,-2.26%,146.11B
182,CARR,Carrier Global Corporation,22.49B,65.15,0.96%,56.29B
183,AVT,"Avnet, Inc.",22.48B,49.65,1.02%,4.29B
184,RGA,"Reinsurance Group of America, Incorporated",22.11B,193.70,-1.40%,12.79B
185,WM,"Waste Management, Inc.",22.06B,224.64,0.37%,90.33B
186,WCC,"WESCO International, Inc.",21.82B,168.64,-3.03%,8.23B
187,OKE,"ONEOK, Inc.",21.70B,89.97,-2.14%,53.78B
188,ADBE,Adobe Inc.,21.51B,444.79,0.29%,193.44B
189,LHX,"L3Harris Technologies, Inc.",21.33B,212.36,3.24%,39.99B
190,ROST,"Ross Stores, Inc.",21.13B,137.83,-2.23%,45.47B
191,CDW,CDW Corporation,21.00B,167.32,-0.47%,22.17B
192,SMCI,"Super Micro Computer, Inc.",20.82B,37.06,-1.19%,21.99B
193,PNC,"The PNC Financial Services Group, Inc.",20.77B,178.74,-0.44%,70.74B
194,THC,Tenet Healthcare Corporation,20.67B,125.04,0.33%,11.89B
195,BDX,"Becton, Dickinson and Company",20.64B,224.18,1.95%,64.37B
196,BJ,"BJ's Wholesale Club Holdings, Inc.",20.50B,112.54,0.97%,14.87B
197,FI,"Fiserv, Inc.",20.46B,219.89,-2.27%,123.42B
198,MO,"Altria Group, Inc.",20.44B,57.00,1.56%,96.37B
199,BLK,"BlackRock, Inc.",20.41B,930.20,-3.07%,144.42B
200,CL,Colgate-Palmolive Company,20.10B,93.50,4.83%,75.88B
201,KMB,Kimberly-Clark Corporation,20.06B,141.14,2.46%,46.81B
202,GPI,"Group 1 Automotive, Inc.",19.93B,449.37,-2.19%,5.83B
203,PH,Parker-Hannifin Corporation,19.91B,632.12,-0.83%,81.39B
204,ADP,"Automatic Data Processing, Inc.",19.90B,303.02,0.39%,123.29B
205,GIS,"General Mills, Inc.",19.90B,61.95,5.38%,34.21B
206,CTSH,Cognizant Technology Solutions Corporation,19.74B,82.67,-1.32%,40.89B
207,AEP,"American Electric Power Company, Inc.",19.72B,103.03,1.71%,54.81B
208,GEHC,GE HealthCare Technologies Inc.,19.67B,84.87,0.81%,38.81B
209,SCHW,The Charles Schwab Corporation,19.61B,75.14,-2.79%,140.10B
210,CLF,Cleveland-Cliffs Inc.,19.19B,10.05,-2.83%,4.97B
211,AFL,Aflac Incorporated,18.93B,107.94,-0.06%,59.00B
212,GT,The Goodyear Tire & Rubber Company,18.88B,9.21,6.41%,2.62B
213,NEM,Newmont Corporation,18.68B,43.84,-0.41%,49.40B
214,AZO,"AutoZone, Inc.",18.67B,"3,585.09",-0.10%,60.04B
215,CRBG,"Corebridge Financial, Inc.",18.64B,31.89,-2.88%,17.73B
216,IP,International Paper Company,18.62B,52.00,-0.39%,27.36B
217,BK,The Bank of New York Mellon Corporation,18.55B,84.38,-0.18%,60.44B
218,LNC,Lincoln National Corporation,17.97B,35.82,-2.40%,6.10B
219,PHM,"PulteGroup, Inc.",17.95B,108.80,-0.90%,22.03B
220,AMP,"Ameriprise Financial, Inc.",17.93B,501.16,-2.16%,48.17B
221,MUSA,Murphy USA Inc.,17.91B,445.08,1.50%,8.91B
222,PPC,Pilgrim's Pride Corporation,17.88B,52.58,2.98%,12.47B
223,MAN,ManpowerGroup Inc.,17.85B,62.03,0.87%,2.90B
224,CHRW,"C.H. Robinson Worldwide, Inc.",17.72B,98.09,4.00%,11.64B
225,EIX,Edison International,17.60B,55.10,2.81%,21.21B
226,EMR,Emerson Electric Co.,17.55B,115.51,0.24%,65.13B
227,ARMK,Aramark,17.55B,35.53,-0.07%,9.42B
